var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
prot_u,LAB: (urine) protein (g/l),"C: Protein
P: g/l
T:  Pt
S: Urine
Sc: Qn
M:",2888-6,"C: Protein
P: MCnc
T:  Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
gluc_u,LAB: (urine) glucose (mmol/l),"C: Glucose
P: mmol/l
T: Pt
S: Urine
Sc: Qn
M:",15076-3 ,"C: Glucose
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
ket_u,LAB: (urine) ketone (mmol/l),"C: Ketones
P: mmol/l
T: Pt
S: Urine
Sc: Qn
M: ",22702-5,"C: Ketones
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,2,,,,,,,,,,,,,,,,,,,
ubg_u,LAB: (urine) urobilinogen (µmol/l),"C: Urobilinogen
P: µmol/l
T: Pt
S: Urine
Sc: Qn
M:",34927-4,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
bili_u,LAB: (urine) bilirubin (µmol/l),"C: Bilirubin
P: µmol/l
T: Pt
S: Urine
Sc: Qn
M:",70199-5,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
ery_u,LAB: (urine) erythrocytes (/µl),"C: Erythrocytes
P: /µl
T: Pt
S: Urine
Sc: Qn
M: ",30391-7,"C: Erythrocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
hb_u,LAB: (urine) haemoglobin (mg/dl),"C: Hemoglobin
P: mg/dl
T: Pt
S: Urine
Sc. Qn
M: ",726-0,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc: Qn
",=,3,,,,,,,,,,,,,,,,,,,
,,"C: Glomerular filtration rate
P: ml/min
T: Pt
S: Serum/Plasma/Blood
Sc: Qn
M: CKD-EPI formula",88294-4,"C: Glomerular filtration rate/1.73 sq M.predicted.non black
P: ArVRat
T: Pt
S: Serum/Plasma/Blood
Sc: Qn
M: Creatinine-based formula (CKD-EPI) ",=,,,,,,,,,,,,,,,,,,,,
,,"C: Glomerular filtration rate
P: ml/min
T: Pt
S: Serum/Plasma/Blood
Sc: Qn
M: CKD-EPI formula",62238-1,"C: Glomerular filtration rate/1.73 sq M.predicted
P: ArVRat
T: Pt
S: Serum/Plasma/Blood
Sc: Qn
M: Creatinine-based formula (CKD-EPI) ",=,,,,,,,,,,,,,,,,,,,,
alat_s,LAB: alanine aminotransferase (ALAT/GPT) (µkatal/l),"C: Alanine aminotransferase (ALAT/GPT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",1742-6,"C: Alanine aminotransferase
P: CCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,2,,,,,,,,,
,,"C: Alanine aminotransferase (ALAT/GPT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",1743-4,"C: Alanine aminotransferase
P: CCnc
T: Pt
S: Ser/Plas
Sc: Qn
M: With P-5'-P ",=,,,,,,,,,,,,,,,,,,,,
asat_s,LAB: aspartate aminotransferase (ASAT/GOT) (µkatal/l),"C: Aspartate aminotransferase (ASAT/GOT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",1920-8,"C: Aspartate aminotransferase
P: CCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,2,,,,,,,,,
,,"C: Aspartate aminotransferase (ASAT/GOT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",30239-8,"C: Aspartate aminotransferase
P: CCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: With P-5'-P ",=,,,,,,,,,,,,,,,,,,,,
alb_s,LAB: serum albumin (g/l),"C: Serum albumin 
P: g/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",1751-7 ,"C: Albumin
P: MCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,2,,,,,,,,,
,,,61152-5,"C:  Albumin
P: MCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: BCP ",=,,,,,,,,,,,,,,,,,,,,
ferri,Ferritin (µg/l),"C: Ferritin
P: µg/l
T: Pt
S: Ser/Plas
Sc: Qn
M:",2276-4,"C: Ferritin
P: MCnc
T: Pt
S: Ser/Plas
Sc: Qn
M:",=,2,,,,,,,,,,2,,,,,,,,,
,,,20567-4,"C: Ferritin
P: MCnc
T: Pt
S: Serum/Plasma
S: Qn
M: Immunoassay",=,,,,,,,,,,,,,,,,,,,,
ldlch,LAB: LDL-cholesterol (mmol/l),"C: LDL-cholesterol
P: mmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",22748-8,"C: Cholesterol.in LDL
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,2,,,,,,,,,
,,,69419-0,"C: Cholesterol.in LDL
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: Direct assay ",=,,,,,,,,,,,,,,,,,,,,
tsh,LAB: TSH/thyroid-stimulating hormone (mU/l),"C: TSH/thyroid-stimulating hormone 
P: mU/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",3016-3,"C: Thyrotropin
P: ACnc
T: Pt
S: Ser/Plas
Sc: Qn
M:",=,2,,,,,,,,,,2,,,,,,,,,
,,,11580-8,"C:Thyrotropin
P: ACnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: Detection limit <= 0.005 mIU/L ",=,,,,,,,,,,,,,,,,,,,,
ft3,"LAB: f T3/triiodothyronine, free (pmol/l)","C:  f T3/triiodothyronine, free 
P: pmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",14928-6,"C: Triiodothyronine.free
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M:",=,2,,,,,,,,,,2,,,,,,,,,
,,,83126-3,"C: Triiodothyronine.free
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: Immunoassay ",=,,,,,,,,,,,,,,,,,,,,
ft4,"LAB: f T4/thyroxine, free (pmol/l)","C:  f T4/thyroxine, free 
P: pmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",14920-3,"C: Thyroxine.free
P: SCnc
T: Pt
S. Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,2,,,,,,,,,
,,,83121-4,"C: Thyroxine.free
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: Immunoassay ",=,,,,,,,,,,,,,,,,,,,,
tpo_ak,LAB: TPO-AK/ anti-thyroid peroxidase antibody (U/ml),"C: TPO-AK/ anti-thyroid peroxidase antibody 
P: U/ml
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",8099-4,"C: Thyroperoxidase Ab
P: ACnc
T: Pt
S: Serum/Plasma
Sc: Qn
",=,2,,,,,,,,,,2,,,,,,,,,
,,,56477-3,"C: Thyroperoxidase Ab
P: ACnc
T: Pt
S: Serum/Plasma
Sc: Qn
M:  Immunoassy ",=,,,,,,,,,,,,,,,,,,,,
ph_u,LAB: (urine) pH,"C: pH
P: 
T: Pt
S: Urine
Sc: Qn
M:",2756-5,"C: pH
P: LsCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,5803-2,"C: pH
P: LsCnc
T: Pt
S: Urine
Sc: Qn
M: Test Strip",=,,,,,,,,,,,,,,,,,,,,
,,,50560-2,"C: pH
P: LsCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated",=,,,,,,,,,,,,,,,,,,,,
